16進位	16进制
保鑣	保镖
保障著	保障着
保障著作	保障著作
保障著名	保障著名
保障著書	保障著书
保障著称	保障著称
保障著稱	保障著称
保障著者	保障著者
保障著述	保障著述
保障著錄	保障著录
信著	信着
信著《	信著《
信著作	信著作
信著名	信著名
信著書	信著书
信著称	信著称
信著稱	信著称
信著者	信著者
信著述	信著述
信著錄	信著录
倒帳	倒账
候著	候着
候著作	候著作
候著名	候著名
候著書	候著书
候著稱	候著称
候著者	候著者
候著述	候著述
候著錄	候著录
借著	借着
借著作	借著作
借著名	借著名
借著書	借著书
借著稱	借著称
借著者	借著者
借著述	借著述
借著錄	借著录
假帳	假账
做著	做着
做著作	做著作
做著名	做著名
做著書	做著书
做著稱	做著称
做著者	做著者
做著述	做著述
做著錄	做著录
健力士世界紀錄	吉尼斯世界纪录
側著	侧着
側著作	侧著作
側著名	侧著名
側著書	侧著书
側著稱	侧著称
側著者	侧著者
側著述	侧著述
側著錄	侧著录
偷著	偷着
偷著作	偷著作
偷著名	偷著名
偷著書	偷著书
偷著稱	偷著称
偷著者	偷著者
偷著述	偷著述
偷著錄	偷著录
傅利葉	傅里叶
備著	备着
備著作	备著作
備著名	备著名
備著書	备著书
備著稱	备著称
備著者	备著者
備著述	备著述
備著錄	备著录
傳著	传着
傳著作	传著作
傳著名	传著名
傳著書	传著书
傳著稱	传著称
傳著者	传著者
傳著述	传著述
傳著錄	传著录
優先順序	优先级
光碟機	光驱
光著	光着
光著《	光著《
光著作	光著作
光著名	光著名
光著書	光著书
光著称	光著称
光著稱	光著称
光著者	光著者
光著述	光著述
光著錄	光著录
克卜勒	开普勒
克羅埃西亞	克罗地亚
入帳	入账
全球資訊網	万维网
八進位	八进制
八進位制	八进位制
公升	升
公厘	毫米
公尺	米
公帳	公账
公釐	毫米
六進位	六进制
六進位制	六进位制
共和联邦	英联邦
冒著	冒着
冒著作	冒著作
冒著名	冒著名
冒著書	冒著书
冒著稱	冒著称
冒著者	冒著者
冒著述	冒著述
冒著錄	冒著录
凱薩琳	凯瑟琳
分佈著	分布着
分布著	分布着
列印	打印
列支敦斯登	列支敦士登
別著	别着
刮著	刮着
到帳	到账
制著	制着
制著作	制著作
制著名	制著名
制著書	制著书
制著稱	制著称
制著者	制著者
制著述	制著述
制著錄	制著录
刻著	刻着
刻著作	刻著作
刻著名	刻著名
刻著書	刻著书
刻著称	刻著称
刻著稱	刻著称
刻著者	刻著者
刻著述	刻著述
刻著錄	刻著录
前波莫瑞	前波美拉尼亚
劃著	划着
功能變數名稱	域名
加彭	加蓬
加泰隆尼亞	加泰罗尼亚
加薩走廊	加沙地带
努力著	努力着
努力著作	努力著作
努力著名	努力著名
努力著書	努力著书
努力著称	努力著称
努力著稱	努力著称
努力著者	努力著者
努力著述	努力著述
努力著錄	努力著录
動畫影集	系列动画片
動著	动着
動著作	动著作
動著名	动著名
動著書	动著书
動著稱	动著称
動著者	动著者
動著述	动著述
動著錄	动著录
包著	包着
匯流排	总线
區域網	局域网
區域網路	局域网络
十進位	十进制
十進位制	十进位制
千里達	特立尼达
千里達及托巴哥	特立尼达和多巴哥
卑詩省	不列颠哥伦比亚省
南斯拉夫聯邦共和國	南斯拉夫联盟共和国
南韓	韩国
占士邦	詹姆斯·邦德
占著	占着
占著作	占著作
占著名	占著名
占著者	占著者
卡佩雅蒂	卡普里亚蒂
卡斯楚	卡斯特罗
卯足	铆足
印著	印着
印著《	印著《
印著作	印著作
印著名	印著名
印著書	印著书
印著稱	印著称
印著者	印著者
印著述	印著述
印著錄	印著录
印表機	打印机
厄利垂亚	厄立特里亚
厄利垂亞	厄立特里亚
厄瓜多	厄瓜多尔
厄瓜多尔	厄瓜多尔
厄瓜多爾	厄瓜多尔
厄立特里亞	厄立特里亚
原始碼	源代码
原子筆	圆珠笔
受著	受着
受著作	受著作
受著名	受著名
受著書	受著书
受著稱	受著称
受著者	受著者
受著述	受著述
受著錄	受著录
叫著	叫着
叫著作	叫著作
叫著名	叫著名
叫著書	叫著书
叫著稱	叫著称
叫著者	叫著者
叫著述	叫著述
叫著錄	叫著录
可攜式	便携式
台帳	台账
叱吒	叱咤
史丹福大學	斯坦福大学
史特勞斯	斯特劳斯
史瓦帝尼	斯威士兰
史瓦濟蘭	斯威士兰
史達林	斯大林
吃著	吃着
吉力馬札羅	乞力马扎罗
吉布地	吉布提
吉里巴斯	基里巴斯
吊著	吊着
名份	名分
吐瓦魯	图瓦卢
向著	向着
向著作	向著作
向著名	向著名
向著書	向著书
向著稱	向著称
向著者	向著者
向著述	向著述
向著錄	向著录
含著	含着
含著作	含著作
含著名	含著名
含著書	含著书
含著稱	含著称
含著者	含著者
含著述	含著述
含著錄	含著录
吹著	吹着
吹著作	吹著作
吹著名	吹著名
吹著書	吹著书
吹著稱	吹著称
吹著者	吹著者
吹著述	吹著述
吹著錄	吹著录
呆帳	呆账
呆著	呆着
味著	味着
味著作	味著作
味著名	味著名
味著書	味著书
味著称	味著称
味著稱	味著称
味著者	味著者
味著述	味著述
味著錄	味著录
咖哩	咖喱
咬著	咬着
哥德式	哥特式
哥斯大黎加	哥斯达黎加
哭著	哭着
哭著作	哭著作
哭著名	哭著名
哭著書	哭著书
哭著稱	哭著称
哭著者	哭著者
哭著述	哭著述
哭著錄	哭著录
唐納·川普	唐纳德·特朗普
唯讀	只读
唱著	唱着
唱著作	唱著作
唱著名	唱著名
唱著書	唱著书
唱著稱	唱著称
唱著者	唱著者
唱著述	唱著述
唱著錄	唱著录
啸吒	啸咤
喀拉蚩	卡拉奇
喜歡著	喜欢着
喝著	喝着
喝著作	喝著作
喝著名	喝著名
喝著書	喝著书
喝著稱	喝著称
喝著者	喝著者
喝著述	喝著述
喝著錄	喝著录
喬治·歐威爾	乔治·奥威尔
喬治亞字母	格鲁吉亚字母
單眼相機	单反相机
單鏡反光機	单反相机
嗅著	嗅着
嘉芙蓮	凯瑟琳
嚷著	嚷着
嚷著作	嚷著作
嚷著名	嚷著名
嚷著書	嚷著书
嚷著稱	嚷著称
嚷著者	嚷著者
嚷著述	嚷著述
嚷著錄	嚷著录
回著	回着
回著名	回著名
因著	因着
因著〈	因著〈
因著《	因著《
因著作	因著作
因著名	因著名
因著录	因著录
因著書	因著书
因著稱	因著称
因著者	因著者
因著述	因著述
因著錄	因著录
困著	困着
困著作	困著作
困著名	困著名
困著書	困著书
困著稱	困著称
困著者	困著者
困著述	困著述
困著錄	困著录
固著	固着
圍著	围着
圍著作	围著作
圍著名	围著名
圍著書	围著书
圍著稱	围著称
圍著者	围著者
圍著述	围著述
圍著錄	围著录
土魯斯	图卢兹
坎城	戛纳
坎培拉	堪培拉
坐著	坐着
坐著作	坐著作
坐著名	坐著名
坐著書	坐著书
坐著稱	坐著称
坐著者	坐著者
坐著述	坐著述
坐著錄	坐著录
坚杜拜	坚杜拜
坦尚尼亞	坦桑尼亚
埋著	埋着
執行長、	首席执行官、
執行長。	首席执行官。
執行長，	首席执行官，
堂姊	堂姐
堅杜拜	坚杜拜
堅貞著	坚贞着
報帳	报账
塑膠袋	塑料袋
塗著	涂着
塞席爾	塞舌尔
塞拉耶佛	萨拉热窝
塞普勒斯	塞浦路斯
塞爾維亞與蒙特內哥羅	塞尔维亚和黑山
塞維亞	塞维利亚
壓著	压着
壓著作	压著作
壓著名	压著名
壓著書	压著书
壓著稱	压著称
壓著者	压著者
壓著述	压著述
壓著錄	压著录
士多啤梨	草莓
外掛程式	插件
外部連結	外部链接
多明尼加	多米尼加
夢著	梦着
夢著《	梦著《
夢著作	梦著作
夢著名	梦著名
夢著書	梦著书
夢著稱	梦著称
夢著者	梦著者
夢著述	梦著述
夢著錄	梦著录
大姊	大姐
大姊姊	大姐姐
大寮	大寮
大英國協	英联邦
天份	天分
太空梭	航天飞机
太空衣	宇航服
太空飛行員	宇航员
太陽電腦	太阳微系统
夾著	夹着
夾著作	夹著作
夾著名	夹著名
夾著書	夹著书
夾著稱	夹著称
夾著者	夹著者
夾著述	夹著述
夾著錄	夹著录
奈及利亞	尼日利亚
奈洛比	内罗毕
奧勒岡	俄勒冈
姊夫	姐夫
姊姊	姐姐
姊弟	姐弟
威斯伐倫	威斯特法伦
威爾斯	威尔士
威騰電子	西部数据
字型大小	字号
存在著	存在着
存著	存着
存著作	存著作
存著名	存著名
孟德爾遜	门德尔松
孟德爾頌	门德尔松
學姊	学姐
學著	学着
學著作	学著作
學著名	学著名
學著書	学著书
學著稱	学著称
學著者	学著者
學著述	学著述
學著錄	学著录
守著	守着
守著作	守著作
守著名	守著名
守著書	守著书
守著称	守著称
守著稱	守著称
守著者	守著者
守著述	守著述
守著錄	守著录
安哈特	安哈尔特
安地卡	安提瓜
安地卡及巴布達	安提瓜和巴布达
宏都拉斯	洪都拉斯
定著	定着
定著《	定著《
定著作	定著作
定著名	定著名
定著書	定著书
定著称	定著称
定著稱	定著称
定著者	定著者
定著述	定著述
定著錄	定著录
宿霧	宿务
密执安	密歇根
密西根	密歇根
富比士	福布斯
寫著	写着
寫著作	写著作
寫著名	写著名
寫著書	写著书
寫著稱	写著称
寫著者	写著者
寫著述	写著述
寫著錄	写著录
寮人民民主共和國	老挝人民民主共和国
寮保護國	老挝保护国
寮國	老挝
寮語	老挝语
尋著	寻着
尋著作	寻著作
尋著名	寻著名
尋著書	寻著书
尋著稱	寻著称
尋著者	寻著者
尋著述	寻著述
尋著錄	寻著录
對帳	对账
對著	对着
對著作	对著作
對著名	对著名
對著書	对著书
對著稱	对著称
對著者	对著者
對著述	对著述
對著錄	对著录
尖峰時段	高峰时段
尖峰時間	高峰时间
尚比亞	赞比亚
尼日共和國	尼日尔共和国
尾班車	末班车
展著	展着
展著《	展著《
展著作	展著作
展著名	展著名
展著書	展著书
展著稱	展著称
展著者	展著者
展著述	展著述
展著錄	展著录
峇里	巴厘
工具機	机床
巨集	宏
巴塞隆拿	巴塞罗那
巴塞隆納	巴塞罗那
巴斯拉	巴士拉
巴貝多	巴巴多斯
布吉納法索	布基纳法索
布拉提斯拉瓦	布拉迪斯拉发
布殊	布什
布蘭登堡	勃兰登堡
布隆泉	布隆方丹
希冀著	希冀着
希拉莉	希拉里
希拉蕊	希拉里
希特拉	希特勒
帕拉林匹克	残疾人奥林匹克
帕運	残奥
帕邁拉環礁	巴尔米拉环礁
帛琉	帕劳
席哈克	希拉克
帳上	账上
帳冊	账册
帳務	账务
帳單	账单
帳外	账外
帳戶	账户
帳房	账房
帳本	账本
帳款	账款
帳目	账目
帳簿	账簿
帳號	账号
帳面	账面
帶著	带着
帶著作	带著作
帶著名	带著名
帶著書	带著书
帶著稱	带著称
帶著者	带著者
帶著述	带著述
帶著錄	带著录
幫浦	泵
幫著	帮着
幫著作	帮著作
幫著名	帮著名
幫著書	帮著书
幫著稱	帮著称
幫著者	帮著者
幫著述	帮著述
幫著錄	帮著录
幹著	干着
幹著名	幹著名
幹著稱	幹著称
幾內亞比索	几内亚比绍
庇護著	庇护着
庇里牛斯	比利牛斯
庫德人	库尔德人
庫德斯坦	库尔德斯坦
庫德族	库尔德族
建帳	建账
強斯頓環礁	约翰斯顿岛
形上學	形而上学
待著	待着
待著作	待著作
待著名	待著名
待著書	待著书
待著稱	待著称
待著者	待著者
待著述	待著述
待著錄	待著录
得著	得着
得著作	得著作
得著名	得著名
得著書	得著书
得著稱	得著称
得著者	得著者
得著述	得著述
得著錄	得著录
御姊	御姐
循著	循着
循著作	循著作
循著名	循著名
循著書	循著书
循著稱	循著称
循著者	循著者
循著述	循著述
循著錄	循著录
徵狀	症状
德勒斯登	德累斯顿
德希達	德里达
德蕾莎·梅伊	特蕾莎·梅
心著	心着
心著《	心著《
心著作	心著作
心著名	心著名
心著書	心著书
心著称	心著称
心著稱	心著称
心著者	心著者
心著述	心著述
心著錄	心著录
忌廉	奶油
忍著	忍着
忍著作	忍著作
忍著名	忍著名
忍著書	忍著书
忍著稱	忍著称
忍著者	忍著者
忍著述	忍著述
忍著錄	忍著录
忙著	忙着
忙著作	忙著作
忙著名	忙著名
忙著書	忙著书
忙著稱	忙著称
忙著者	忙著者
忙著述	忙著述
忙著錄	忙著录
忠貞著	忠贞着
快閃記憶體	闪存
急著	急着
急著作	急著作
急著名	急著名
急著書	急著书
急著稱	急著称
急著者	急著者
急著述	急著述
急著錄	急著录
恰如其份	恰如其分
悠著	悠着
悠著作	悠著作
悠著名	悠著名
悠著書	悠著书
悠著稱	悠著称
悠著者	悠著者
悠著述	悠著述
悠著錄	悠著录
悶著	闷着
想著	想着
想著作	想著作
想著名	想著名
想著書	想著书
想著称	想著称
想著稱	想著称
想著者	想著者
想著述	想著述
想著錄	想著录
愛滋	艾滋
愛著	爱着
愛著作	爱著作
愛著名	爱著名
愛著書	爱著书
愛著稱	爱著称
愛著者	爱著者
愛著述	爱著述
愛著錄	爱著录
愛護著	爱护着
慣著	惯着
慣著作	惯著作
慣著名	惯著名
慣著書	惯著书
慣著稱	惯著称
慣著者	惯著者
慣著述	惯著述
慣著錄	惯著录
憑著	凭着
憑著作	凭著作
憑著名	凭著名
憑著者	凭著者
應用程式	应用程序
應著	应着
應著作	应著作
應著名	应著名
應著書	应著书
應著稱	应著称
應著者	应著者
應著述	应著述
應著錄	应著录
懷著	怀着
懷著《	怀著《
懷著作	怀著作
懷著名	怀著名
懷著書	怀著书
懷著稱	怀著称
懷著者	怀著者
懷著述	怀著述
懷著錄	怀著录
戀著	恋着
戀著作	恋著作
戀著名	恋著名
戀著書	恋著书
戀著稱	恋著称
戀著者	恋著者
戀著述	恋著述
戀著錄	恋著录
戈巴契夫	戈尔巴乔夫
成份	成分
成份股	成份股
戰著	战着
戰著作	战著作
戰著名	战著名
戰著書	战著书
戰著稱	战著称
戰著者	战著者
戰著述	战著述
戰著錄	战著录
戴卓爾	撒切尔
戴著	戴着
戴著作	戴著作
戴著名	戴著名
戴著書	戴著书
戴著稱	戴著称
戴著者	戴著者
戴著述	戴著述
戴著錄	戴著录
打著	打着
打著作	打著作
打著名	打著名
打著書	打著书
打著稱	打著称
打著者	打著者
打著述	打著述
打著錄	打著录
托巴哥	多巴哥
扛著	扛着
扛著作	扛著作
扛著名	扛著名
扛著書	扛著书
扛著稱	扛著称
扛著者	扛著者
扛著述	扛著述
扛著錄	扛著录
抓著	抓着
抓著作	抓著作
抓著名	抓著名
抓著稱	抓著称
抓著者	抓著者
抓著述	抓著述
抓著錄	抓著录
投機份子	投机分子
披索	比索
披著	披着
披著作	披著作
披著名	披著名
披著書	披著书
披著稱	披著称
披著者	披著者
披著述	披著述
披著錄	披著录
披頭四	披头士
抬著	抬着
抬著作	抬著作
抬著名	抬著名
抬著稱	抬著称
抬著者	抬著者
抬著述	抬著述
抬著錄	抬著录
抱著	抱着
抱著作	抱著作
抱著名	抱著名
抱著稱	抱著称
抱著者	抱著者
抱著述	抱著述
抱著錄	抱著录
拉著	拉着
拉著作	拉著作
拉著名	拉著名
拉著書	拉著书
拉著稱	拉著称
拉著者	拉著者
拉著述	拉著述
拉著錄	拉著录
拎著	拎着
拎著作	拎著作
拎著名	拎著名
拎著稱	拎著称
拎著者	拎著者
拎著述	拎著述
拎著錄	拎著录
拖著	拖着
拖著作	拖著作
拖著名	拖著名
拖著稱	拖著称
拖著者	拖著者
拖著述	拖著述
拖著錄	拖著录
拼著	拼着
拼著作	拼著作
拼著名	拼著名
拼著稱	拼著称
拼著者	拼著者
拼著述	拼著述
拼著錄	拼著录
拿著	拿着
拿著作	拿著作
拿著名	拿著名
拿著稱	拿著称
拿著者	拿著者
拿著述	拿著述
拿著錄	拿著录
持著	持着
持著作	持著作
持著名	持著名
持著稱	持著称
持著者	持著者
持著述	持著述
持著錄	持著录
挑著	挑着
挑著作	挑著作
挑著名	挑著名
挑著稱	挑著称
挑著者	挑著者
挑著述	挑著述
挑著錄	挑著录
挨著	挨着
挨著作	挨著作
挨著名	挨著名
挨著稱	挨著称
挨著者	挨著者
挨著述	挨著述
挨著錄	挨著录
捆著	捆着
捆著作	捆著作
捆著名	捆著名
捆著稱	捆著称
捆著者	捆著者
捆著述	捆著述
捆著錄	捆著录
掃瞄	扫描
掃瞄器	扫描仪
掌上壓	俯卧撑
掖著	掖着
掖著作	掖著作
掖著名	掖著名
掖著稱	掖著称
掖著者	掖著者
掖著述	掖著述
掖著錄	掖著录
掙著	挣着
掙著作	挣著作
掙著名	挣著名
掙著書	挣著书
掙著稱	挣著称
掙著者	挣著者
掙著述	挣著述
掙著錄	挣著录
掛著	挂着
接著	接着
接著作	接著作
接著名	接著名
接著稱	接著称
接著者	接著者
接著述	接著述
接著錄	接著录
控制項	控件
揉著	揉着
揉著作	揉著作
揉著名	揉著名
揉著書	揉著书
揉著稱	揉著称
揉著者	揉著者
揉著述	揉著述
揉著錄	揉著录
提比里西	第比利斯
提著	提着
提著作	提著作
提著名	提著名
提著稱	提著称
提著者	提著者
提著述	提著述
提著錄	提著录
揮著	挥着
揮著作	挥著作
揮著名	挥著名
揮著稱	挥著称
揮著者	挥著者
揮著述	挥著述
揮著錄	挥著录
搜尋引擎	搜索引擎
搶著	抢着
摟著	搂着
摟著作	搂著作
摟著名	搂著名
摟著稱	搂著称
摟著者	搂著者
摟著述	搂著述
摟著錄	搂著录
摩斯比港	莫尔斯比港
撒拉威阿拉伯	阿拉伯撒哈拉
撞球	台球
撼著	撼着
撼著作	撼著作
撼著名	撼著名
撼著書	撼著书
撼著稱	撼著称
撼著者	撼著者
撼著述	撼著述
撼著錄	撼著录
擋著	挡着
擋著作	挡著作
擋著名	挡著名
擋著稱	挡著称
擋著者	挡著者
擋著述	挡著述
擋著錄	挡著录
擔著	担着
據著	据着
據著作	据著作
據著名	据著名
據著書	据著书
據著稱	据著称
據著者	据著者
據著述	据著述
據著錄	据著录
擡著	抬着
擺著	摆着
擺著作	摆著作
擺著名	摆著名
擺著稱	摆著称
擺著者	摆著者
擺著述	摆著述
擺著錄	摆著录
攜帶型	便携式
收帳	收账
收錄著	收录着
放帳	放账
放著	放着
放著作	放著作
放著名	放著名
放著称	放著称
放著稱	放著称
敞著	敞着
敞著作	敞著作
敞著名	敞著名
敞著稱	敞著称
敞著者	敞著者
敞著述	敞著述
敞著錄	敞著录
散佈著	散布着
散布著	散布着
數位化	数字化
數位技術	数字技术
數位照相機	数码照相机
數位相機	数码相机
數位訊號	数字信号
數位電視	数字电视
數位音樂	数字音乐
數據機	调制解调器
數碼訊號	数字信号
數碼電視	数字电视
數著	数着
數著作	数著作
數著名	数著名
數著稱	数著称
數著者	数著者
數著述	数著述
數著錄	数著录
文翠珊	特蕾莎·梅
斥著	斥着
斥著作	斥著作
斥著名	斥著名
斥著書	斥著书
斥著稱	斥著称
斥著者	斥著者
斥著述	斥著述
斥著錄	斥著录
斯堪地那維亞	斯堪的纳维亚
斯洛維尼亞	斯洛文尼亚
昂山素姬	昂山素季
昂著	昂着
昂著作	昂著作
昂著名	昂著名
昂著書	昂著书
昂著稱	昂著称
昂著者	昂著者
昂著述	昂著述
昂著錄	昂著录
昇陽電腦	太阳微系统
明白帳	明白账
映著	映着
映著作	映著作
映著名	映著名
映著書	映著书
映著稱	映著称
映著者	映著者
映著述	映著述
映著錄	映著录
显著	显著
晃著	晃着
晃著作	晃著作
晃著名	晃著名
晃著稱	晃著称
晃著者	晃著者
晃著述	晃著述
晃著錄	晃著录
普利托利亞	比勒陀利亚
普利茲	普利策
普立茲獎	普利策奖
晶元	芯片
晶片	芯片
智慧卡	智能卡
智慧型	智能
智慧手機	智能手机
智慧機器人	智能机器人
智慧財產權	知识产权
智財權	知识产权
暗著	暗着
暗著作	暗著作
暗著名	暗著名
暗著書	暗著书
暗著稱	暗著称
暗著者	暗著者
暗著述	暗著述
暗著錄	暗著录
有著	有着
有著作	有著作
有著名	有著名
有著書	有著书
有著稱	有著称
有著者	有著者
有著述	有著述
有著錄	有著录
望著	望着
望著作	望著作
望著名	望著名
望著稱	望著称
望著者	望著者
望著述	望著述
望著錄	望著录
朝著	朝着
朝著作	朝著作
朝著名	朝著名
朝著稱	朝著称
朝著者	朝著者
朝著述	朝著述
朝著錄	朝著录
本份	本分
本帳	本账
本本份份	本本分分
本著	本着
本著作	本著作
本著名	本著名
本著書	本著书
本著稱	本著称
本著者	本著者
本著述	本著述
本著錄	本著录
李奧納多	列奥那多
杜塞道夫	杜塞尔多夫
杜拜	迪拜
束著	束着
東加王國	汤加王国
東協	东盟
東協助	东协助
東協會	东协会
東協議	东协议
東南亞國家協會	东南亚国家联盟
板著臉	板着脸
枕著	枕着
枕著作	枕著作
枕著名	枕著名
枕著稱	枕著称
枕著者	枕著者
枕著述	枕著述
枕著錄	枕著录
柏林圍牆	柏林墙
查帳	查账
查維茲	查韦斯
柯德莉·夏萍	奥黛丽·赫本
柯林頓	克林顿
柴契爾	撒切尔
格林美獎	格莱美奖
格瑞那丁	格林纳丁斯
格瑞那達	格林纳达
桌上型電腦	台式电脑
梅赫西迪	梅赛德斯
梳著	梳着
梳著作	梳著作
梳著名	梳著名
梳著稱	梳著称
梳著者	梳著者
梳著述	梳著述
梳著錄	梳著录
梵谷	梵高
森巴舞	桑巴舞
槍枝	枪支
樂著	乐着
樂著《	乐著《
樂著作	乐著作
樂著名	乐著名
樂著書	乐著书
樂著稱	乐著称
樂著者	乐著者
樂著述	乐著述
樂著錄	乐著录
標志著	标志着
標誌著	标志着
模里西斯	毛里求斯
樸茨茅夫	朴茨茅斯
機械人	机器人
機率	几率
欄位	字段
欠帳	欠账
歐巴馬	奥巴马
正體中文	繁体中文
死帳	死账
殺著	杀着
殺著作	杀著作
殺著名	杀著名
殺著書	杀著书
殺著稱	杀著称
殺著者	杀著者
殺著述	杀著述
殺著錄	杀著录
毛里裘斯	毛里求斯
氧份	氧分
水份	水分
水氣	水汽
求著	求着
求著作	求著作
求著名	求著名
求著書	求著书
求著稱	求著称
求著者	求著者
求著述	求著述
求著錄	求著录
汕埠	圣佩德罗苏拉
汶萊	文莱
沈著	沉着
沉著	沉着
沉著作	沉著作
沉著名	沉著名
沉著書	沉著书
沉著稱	沉著称
沉著者	沉著者
沉著述	沉著述
沉著錄	沉著录
沖帳	冲账
沖著	冲着
沖著。	冲著。
沖著《	冲著《
沖著（	冲著（
沖著，	冲著，
沙地阿拉伯	沙特阿拉伯
沙烏地阿拉伯	沙特阿拉伯
沿著	沿着
沿著作	沿著作
沿著名	沿著名
沿著書	沿著书
沿著稱	沿著称
沿著者	沿著者
沿著述	沿著述
沿著錄	沿著录
波士尼亞	波斯尼亚
波士尼亞與赫塞哥維納	波斯尼亚和黑塞哥维那
波札那	博茨瓦纳
波里活	宝莱坞
活著	活着
活著作	活著作
活著名	活著名
活著書	活著书
活著稱	活著称
活著者	活著者
活著述	活著述
活著錄	活著录
派屈克	帕特里克
流動作業系統	移动操作系统
流動應用程式	移动应用程序
流動支付	移动支付
流動網絡	移动网络
流動裝置	移动设备
流動電話	移动电话
流水帳	流水账
流著	流着
流著作	流著作
流著名	流著名
流著書	流著书
流著稱	流著称
流著者	流著者
流著述	流著述
流著錄	流著录
流露著	流露着
浮著	浮着
浮著作	浮著作
浮著名	浮著名
浮著書	浮著书
浮著稱	浮著称
浮著者	浮著者
浮著述	浮著述
浮著錄	浮著录
海洛英	海洛因
海浬	海里
涼著	凉着
涼著作	凉著作
涼著名	凉著名
涼著書	凉著书
涼著稱	凉著称
涼著者	凉著者
涼著述	凉著述
涼著錄	凉著录
混帳	混账
清帳	清账
清澈	清澈
渴著	渴着
渴著作	渴著作
渴著名	渴著名
渴著書	渴著书
渴著稱	渴著称
渴著者	渴著者
渴著述	渴著述
渴著錄	渴著录
湊合著	凑合着
溢著	溢着
溢著作	溢著作
溢著名	溢著名
溢著書	溢著书
溢著稱	溢著称
溢著者	溢著者
溢著述	溢著述
溢著錄	溢著录
溫納圖	瓦努阿图
溫荷克	温得和克
滑鼠	鼠标
滑鼠蛇	滑鼠蛇
滿16進位	满16进位
滿二進位	满二进位
滿八進位	满八进位
滿六進位	满六进位
滿十六進位	满十六进位
滿十進位	满十进位
滿著	满着
滿著作	满著作
滿著名	满著名
滿著者	满著者
演化論	进化论
演算法	算法
演著	演着
演著作	演著作
演著名	演著名
演著書	演著书
演著稱	演著称
演著者	演著者
演著述	演著述
演著錄	演著录
漢諾瓦	汉诺威
漫著	漫着
漫著作	漫著作
漫著名	漫著名
漫著書	漫著书
漫著稱	漫著称
漫著者	漫著者
漫著述	漫著述
漫著錄	漫著录
潤著	润着
潤著作	润著作
潤著名	润著名
潤著書	润著书
潤著稱	润著称
潤著者	润著者
潤著述	润著述
潤著錄	润著录
潮寮	潮寮
澈底	彻底
為著	为着
為著《	为著《
為著作	为著作
為著名	为著名
為著稱	为著称
為著者	为著者
為著述	为著述
為著錄	为著录
烏龍麵	乌冬面
煞車	刹车
照著	照着
照著作	照著作
照著名	照著名
照著書	照著书
照著稱	照著称
照著者	照著者
照著述	照著述
照著錄	照著录
燒著	烧着
燒著作	烧著作
燒著名	烧著名
燒著稱	烧著称
燒著者	烧著者
燒著述	烧著述
燒著錄	烧著录
營運長、	首席运营官、
